0, 2500, 615468.0505765441, 466969.05961926724, 186945.8118363721, -99532.71787712592, 1267650600228229401496703205376
1, 166088, 1804750.5782867651, -495958.9506929624, 85133.6410146333, 319249.8670979992, 1267650600228229401496703205376
2, 329676, 1255965.0831996785, 1082264.0449374719, 302181.79144118406, -553195.477381598, 1267650600228229401496703205376
3, 493264, -949211.971745261, 166498.26601927757, 1110323.3533079112, 104944.47528855928, 1267650600228229401496703205376
4, 656852, 1526972.2174899194, 839392.7260271878, 1360723.704259195, 649754.7396773358, 1267650600228229401496703205376
5, 820440, 1187895.4142187247, 2305274.9177403348, 1315757.9796608593, 910319.8606800411, 1267650600228229401496703205376
6, 984028, 1585270.0106268495, 810145.5605519462, 1296181.2759877476, 852515.7744846165, 1267650600228229401496703205376
7, 1147616, 183815.63319260895, 1320733.5939350417, 2280829.736603039, 1069966.7277047483, 1267650600228229401496703205376
8, 1311204, 2883490.47028803, -106119.30503079528, 996442.6515696638, 1524828.80133801, 1267650600228229401496703205376
9, 1474792, 3150020.707090632, 1085019.5013383192, 1882581.6842743128, 1522843.2245831627, 1267650600228229401496703205376
10, 1638380, 3101435.255479932, 337401.0108232796, 1524409.241020484, 931448.7844778317, 1267650600228229401496703205376
11, 1801968, 433566.8606445049, 2936870.1336058457, 1754282.616762448, 1690851.2134315972, 1267650600228229401496703205376
12, 1965556, 248450.54932138207, 1639121.987595379, 2875564.9184191427, 2100038.3058454427, 1267650600228229401496703205376
13, 2129144, 1803646.9266216643, 2703530.7185543864, 3629294.7266048174, 2895425.434365014, 1267650600228229401496703205376
14, 2292732, 1447451.3713634575, 1869278.8777810417, 1723732.5391322384, 2306144.5788968755, 1267650600228229401496703205376
15, 2456320, 2960365.011555318, 2113335.4427934447, 2461601.6371200844, 2185015.0005924115, 1267650600228229401496703205376
16, 2619908, 1355120.8509696338, 3196577.043683028, 1957600.9296674437, 2053710.8618650287, 1267650600228229401496703205376
17, 2783496, 348298.3432742134, 1727741.0859145164, 2813783.135241482, 2693148.3113375427, 1267650600228229401496703205376
18, 2947084, 1401853.2099412605, 2517781.105444603, 2598061.8862194614, 3103305.8537177844, 1267650600228229401496703205376
19, 3110672, 2212763.5430776803, 2449465.9066914204, 3316692.066855685, 2757935.6987504885, 1267650600228229401496703205376
20, 3274250, 4695466.313186782, 3222413.2207394363, 3609964.632939943, 3402762.981133415, 1267650600228229401496703205376
